1,0.0,0.03,ORDER,SHIFT,TOURNAMENT,-3330.6080154501706,124903717
42,0.0,0.03,ORDER,SHIFT,TOURNAMENT,-3330.60801545017,124708584
99,0.0,0.03,ORDER,SHIFT,TOURNAMENT,-3330.60801545017,125548262
1,0.0,0.05,ORDER,SHIFT,TOURNAMENT,-3330.60801545017,121350986
42,0.0,0.05,ORDER,SHIFT,TOURNAMENT,-3330.60801545017,127670247
99,0.0,0.05,ORDER,SHIFT,TOURNAMENT,-3330.6080154501706,123530961
1,0.0,0.1,ORDER,SHIFT,TOURNAMENT,-3330.60801545017,124070679
42,0.0,0.1,ORDER,SHIFT,TOURNAMENT,-3330.60801545017,125536018
99,0.0,0.1,ORDER,SHIFT,TOURNAMENT,-3330.6080154501706,128781216
1,0.0,0.03,ORDER,SHIFT,TOURNAMENT,-3330.60801545017,93063257
42,0.0,0.03,ORDER,SHIFT,TOURNAMENT,-3330.60801545017,94090239
99,0.0,0.03,ORDER,SHIFT,TOURNAMENT,-3330.60801545017,95467500
1,0.0,0.05,ORDER,SHIFT,TOURNAMENT,-3330.60801545017,95507867
42,0.0,0.05,ORDER,SHIFT,TOURNAMENT,-3330.60801545017,93005152
99,0.0,0.05,ORDER,SHIFT,TOURNAMENT,-3330.60801545017,92547906
1,0.0,0.1,ORDER,SHIFT,TOURNAMENT,-3330.60801545017,95311918
42,0.0,0.1,ORDER,SHIFT,TOURNAMENT,-3330.60801545017,92936932
99,0.0,0.1,ORDER,SHIFT,TOURNAMENT,-3330.60801545017,93019920
